symbol,direction,entry_price,rsi,atr,macd,trend_score,momentum_score,volatility_score,session,sl,tp,mfe,mae,label
EURUSD,BUY,1.167133,25.842649,0.001358,-8e-05,75.0,24.157351,0.000602,new_york,1.1651,1.17053,0.000818,-0.002311,0
EURUSD,SELL,1.166997,37.715966,0.001041,-0.000563,65.0,12.284034,0.000588,asia,1.16856,1.1644,0.002717,-0.001904,1
EURUSD,SELL,1.165773,39.999416,0.000953,-0.000841,65.0,10.000584,0.000545,london,1.1672,1.16339,0.002576,-0.000951,1
EURUSD,SELL,1.164958,28.882048,0.001,-0.001001,75.0,21.117952,0.000483,new_york,1.16646,1.16246,0.002573,-0.00122,1
EURUSD,SELL,1.163738,36.00801,0.00095,-0.000631,65.0,13.99199,0.000434,asia,1.16516,1.16136,0.002702,-0.001082,1
EURUSD,SELL,1.162115,32.021256,0.001006,-0.001004,75.0,17.978744,0.000454,london,1.16362,1.1596,0.002695,-0.001753,1
EURUSD,SELL,1.160901,28.83672,0.001196,-0.00122,75.0,21.16328,0.000502,new_york,1.16269,1.15791,0.002823,-0.001749,0
EURUSD,SELL,1.16117,47.618346,0.000857,-0.000954,40.0,2.381654,0.000394,asia,1.16246,1.15903,0.002556,-0.001212,1
EURUSD,SELL,1.158883,36.607374,0.00075,-0.000851,65.0,13.392626,0.000428,london,1.16001,1.15701,0.000805,0.0,0
EURUSD,SELL,1.161305,50.0,0.000981,-0.000118,40.0,0.0,0.000544,new_york,1.16278,1.15885,0.002422,-0.001751,0
EURUSD,SELL,1.159958,58.905213,0.00077,-7e-05,65.0,8.905213,0.000561,asia,1.16111,1.15803,0.001075,-0.000404,0
EURUSD,SELL,1.159152,29.270505,0.000721,-0.000287,75.0,20.729495,0.000382,london,1.16023,1.15735,0.000269,0.0,0
EURUSD,SELL,1.162115,63.479119,0.000962,0.000263,65.0,13.479119,0.000468,new_york,1.16356,1.15971,0.001618,-0.001079,0
EURUSD,BUY,1.16117,59.989395,0.000704,0.000257,65.0,9.989395,0.000423,asia,1.16012,1.16293,0.001891,-0.000674,1
EURUSD,BUY,1.161575,42.853086,0.000781,0.000212,65.0,7.146914,0.000347,london,1.1604,1.16353,0.003383,-0.000405,1
EURUSD,BUY,1.162926,65.109789,0.001264,0.000615,75.0,15.109789,0.000499,new_york,1.16103,1.16609,0.003255,-0.000811,1
EURUSD,BUY,1.162791,40.543178,0.000928,0.000442,65.0,9.456822,0.000525,asia,1.1614,1.16511,0.002575,-0.000676,1
EURUSD,BUY,1.164415,61.225003,0.00089,0.000575,65.0,11.225003,0.000412,london,1.16308,1.16664,0.00231,-0.000813,1
