symbol,t,has_h4,has_h1,has_m15,h4_open,h4_high,h4_low,h4_close,h4_volume,h1_open,h1_high,h1_low,h1_close,h1_volume
EURUSD,1739196000.0,0,1,0,,,,,,1.032417893409729,1.0326311588287354,1.0307153463363647,1.0313531160354614,0.0
EURUSD,1739199600.0,0,1,0,,,,,,1.0314594507217407,1.0322047472000122,1.0313531160354614,1.0317788124084473,0.0
EURUSD,1739203200.0,0,1,0,,,,,,1.0317788124084473,1.031991720199585,1.0307153463363647,1.0313531160354614,0.0
EURUSD,1739206800.0,0,1,0,,,,,,1.0314594507217407,1.0316723585128784,1.0309277772903442,1.0314594507217407,0.0
EURUSD,1739210400.0,0,1,0,,,,,,1.0314594507217407,1.0318852663040161,1.0309277772903442,1.0310341119766235,0.0
EURUSD,1739214000.0,0,1,0,,,,,,1.0309277772903442,1.0312467813491821,1.0308215618133545,1.0309277772903442,0.0
EURUSD,1739217600.0,0,1,0,,,,,,1.0309277772903442,1.0310341119766235,1.0307153463363647,1.0310341119766235,0.0
EURUSD,1739221200.0,0,1,0,,,,,,1.0308215618133545,1.0311404466629028,1.0307153463363647,1.0309277772903442,0.0
EURUSD,1739224800.0,0,1,0,,,,,,1.0308215618133545,1.0314594507217407,1.0305029153823853,1.0308215618133545,0.0
EURUSD,1739228400.0,0,1,0,,,,,,1.0310341119766235,1.0310341119766235,1.0300782918930054,1.0303966999053955,0.0
EURUSD,1739232000.0,0,1,0,,,,,,1.0302904844284058,1.0309277772903442,1.0302904844284058,1.0306090116500854,0.0
EURUSD,1739235600.0,0,1,0,,,,,,1.0307153463363647,1.0307153463363647,1.0302904844284058,1.0303966999053955,0.0
EURUSD,1739239200.0,0,1,0,,,,,,1.0305029153823853,1.0306090116500854,1.0295480489730835,1.0295480489730835,0.0
EURUSD,1739242800.0,0,1,0,,,,,,1.0295480489730835,1.0302904844284058,1.0295480489730835,1.0300782918930054,0.0
EURUSD,1739246400.0,0,1,0,,,,,,1.0300782918930054,1.0307153463363647,1.0300782918930054,1.0307153463363647,0.0
EURUSD,1739250000.0,0,1,0,,,,,,1.0307153463363647,1.0308215618133545,1.0305029153823853,1.0308215618133545,0.0
EURUSD,1739253600.0,0,1,0,,,,,,1.0307153463363647,1.0313531160354614,1.0307153463363647,1.0307153463363647,0.0
EURUSD,1739257200.0,0,1,0,,,,,,1.0308215618133545,1.0309277772903442,1.0303966999053955,1.0306090116500854,0.0
EURUSD,1739260800.0,0,1,0,,,,,,1.0307153463363647,1.0320981740951538,1.0303966999053955,1.0320981740951538,0.0
EURUSD,1739264400.0,0,1,0,,,,,,1.0320981740951538,1.032417893409729,1.0316723585128784,1.0320981740951538,0.0
EURUSD,1739268000.0,0,1,0,,,,,,1.0320981740951538,1.0327378511428833,1.0317788124084473,1.0317788124084473,0.0
EURUSD,1739271600.0,0,1,0,,,,,,1.0318852663040161,1.032417893409729,1.0318852663040161,1.032417893409729,0.0
EURUSD,1739275200.0,0,1,0,,,,,,1.0325244665145874,1.033164620399475,1.0323113203048706,1.032417893409729,0.0
EURUSD,1739278800.0,0,1,0,,,,,,1.0325244665145874,1.0327378511428833,1.031991720199585,1.032417893409729,0.0
EURUSD,1739282400.0,0,1,0,,,,,,1.0326311588287354,1.0339123010635376,1.0326311588287354,1.0335917472839355,0.0
EURUSD,1739286000.0,0,1,0,,,,,,1.0335917472839355,1.034554123878479,1.033164620399475,1.0343401432037354,0.0
EURUSD,1739289600.0,0,1,0,,,,,,1.0342330932617188,1.0354111194610596,1.0342330932617188,1.034982442855835,0.0
EURUSD,1739293200.0,0,1,0,,,,,,1.0347682237625122,1.0350896120071411,1.0346611738204956,1.0348752737045288,0.0
EURUSD,1739296800.0,0,1,0,,,,,,1.0348752737045288,1.0354111194610596,1.0347682237625122,1.0348752737045288,0.0
EURUSD,1739300400.0,0,1,0,,,,,,1.0347682237625122,1.0373444557189941,1.0344470739364624,1.03616201877594,0.0
EURUSD,1739304000.0,0,1,0,,,,,,1.03616201877594,1.0370217561721802,1.0360547304153442,1.036591649055481,0.0
EURUSD,1739307600.0,0,1,0,,,,,,1.0364842414855957,1.0366991758346558,1.03616201877594,1.0363768339157104,0.0
EURUSD,1739311200.0,0,1,0,,,,,,1.0387451648712158,1.0387451648712158,1.0362694263458252,1.0364842414855957,0.0
EURUSD,1739314800.0,0,1,0,,,,,,1.036591649055481,1.0370217561721802,1.0364842414855957,1.0366991758346558,0.0
EURUSD,1739318400.0,0,1,0,,,,,,1.0366991758346558,1.0366991758346558,1.035947322845459,1.0360547304153442,0.0
EURUSD,1739322000.0,0,1,0,,,,,,1.0360547304153442,1.036591649055481,1.0357327461242676,1.0362694263458252,0.0
EURUSD,1739325600.0,0,1,0,,,,,,1.0362694263458252,1.0370217561721802,1.0362694263458252,1.036591649055481,0.0
EURUSD,1739329200.0,0,1,0,,,,,,1.0364842414855957,1.036806583404541,1.03616201877594,1.0363768339157104,0.0
EURUSD,1739332800.0,0,1,0,,,,,,1.0364842414855957,1.036591649055481,1.0358400344848633,1.035947322845459,0.0
EURUSD,1739336400.0,0,1,0,,,,,,1.035947322845459,1.03616201877594,1.0358400344848633,1.0360547304153442,0.0
EURUSD,1739340000.0,0,1,0,,,,,,1.03616201877594,1.0362694263458252,1.035947322845459,1.03616201877594,0.0
EURUSD,1739343600.0,0,1,0,,,,,,1.0362694263458252,1.0382059812545776,1.0362694263458252,1.0376672744750977,0.0
