feature,missing_pct,variance,std,zero_pct,unique_count,corr_with_label,constant,near_constant
h4_rsi_14,0.0,515.941880698588,22.71435406738629,0.0,8215,0.666386025721458,False,False
h4_atr_14,0.0,548.3735600049798,23.41737730842162,0.0,24851,-0.011184829721899353,False,False
h4_adx_14,0.0,265.73509524080583,16.301383230904236,0.0,24851,0.09923490180845002,False,False
h4_macd,0.0,100.33139927815901,10.016556258423302,0.0,24851,0.30867869225354594,False,False
h4_macd_signal,0.0,90.08218240501624,9.491163385223976,0.0,24851,0.2886981478457767,False,False
h4_macd_hist,0.0,8.151124899987005,2.855017495565834,0.0,24851,0.12322733470627431,False,False
h4_ema_12,0.0,3594348.773933858,1895.8767823711166,0.0,24851,0.026469772800936157,False,False
h4_ema_26,0.0,3592655.1859149667,1895.4300794054543,0.0,24851,0.02484477307438895,False,False
h4_ema_50,0.0,3589713.34036251,1894.6538840544229,0.0,24851,0.023089974904942707,False,False
h4_sma_20,0.0,3593543.435784804,1895.6643784659784,0.0,24665,0.02522556417396143,False,False
h4_sma_50,0.0,3590035.1124791447,1894.738797955841,0.0,24760,0.022301465328924852,False,False
h4_sma_200,0.0,3572343.9183345907,1890.0645275584088,0.0,24807,0.019259527931552223,False,False
h4_momentum,0.0,692.9772498906036,26.324461056033105,0.7082209971429722,9954,0.23324521924561978,False,False
h4_cci_20,0.0,14384.485671737142,119.93533954484451,0.0,24822,0.5184051614980658,False,False
h4_stoch_k_14,0.0,887.5386828412342,29.791587450843135,1.1830509838638286,9654,0.48418301204796355,False,False
h4_stoch_d_14,0.0,810.226059573686,28.46447012634674,0.0,22404,0.5046656963687618,False,False
h4_bollinger_width_20,0.0,0.000121505389629769,0.011022948318384197,0.0,24711,0.027522611717579963,False,False
h1_rsi_14,0.0,157.2451917835486,12.539744486374058,0.0,24197,0.6407602838607777,False,False
h1_atr_14,0.0,151.4801043992225,12.307725395020093,0.0,24851,-0.004047429565666579,False,False
h1_adx_14,0.0,120.35965038702709,10.970854587817081,0.0,24851,0.047526475246725784,False,False
h1_macd,0.0,101.08182514371033,10.053945749988426,0.0,24851,0.2968122405772745,False,False
h1_macd_signal,0.0,90.67909272528756,9.522557047625789,0.0,24851,0.27567731470641094,False,False
h1_macd_hist,0.0,8.286821475407065,2.8786839832477384,0.0,24851,0.12470323618618936,False,False
